customer_id,state,customer_segment,signup_date,account_balance_myr,monthly_income_myr,loan_amount_myr,credit_score,txn_count_30d,default_flag
MYB0001,Kuala Lumpur,Salary,2022-01-31,3307.75,6532.02,63397.65,703,59,0
MYB0002,Negeri Sembilan,Mass,2019-04-19,1559.79,4039.07,30767.4,580,62,0
MYB0003,Penang,Premium,2023-09-28,28799.11,14601.0,0,696,85,0
MYB0004,Negeri Sembilan,Premium,2021-12-19,28975.71,18545.76,256783.82,584,44,0
MYB0005,Negeri Sembilan,Premium,2021-02-26,24763.32,13293.88,117310.56,658,85,0
MYB0006,Perak,Mass,2024-02-01,9457.07,3462.67,37374.14,620,77,0
MYB0007,Johor,Mass,2020-10-31,7944.75,3541.3,0,618,46,0
MYB0008,Kuala Lumpur,Premium,2021-07-27,63340.99,13080.22,45656.16,710,94,0
MYB0009,Johor,SME,2024-08-06,15965.22,4823.83,46882.58,733,76,0
MYB0010,Sarawak,Premium,2023-01-22,29860.61,14684.41,346658.87,706,81,1
MYB0011,Sarawak,Salary,2025-09-08,-1500,8144.16,0,701,54,0
MYB0012,Selangor,Mass,2025-01-08,9545.45,4211.1,39442.95,567,82,0
MYB0013,Penang,Student,2024-09-10,-5949.3,1816.45,10498.32,773,16,1
MYB0014,Pahang,Premium,2024-12-12,56736.44,21279.04,274465.1,641,112,0
MYB0015,Negeri Sembilan,Mass,2019-11-19,9854.64,4003.61,49506.36,727,19,1
MYB0016,Pahang,Salary,2020-11-07,24540.69,6151.11,68793.35,789,62,0
MYB0017,Sabah,Student,2023-11-30,4764.57,1464.9,10861.8,716,37,0
MYB0018,Kuala Lumpur,Salary,2019-10-18,13197.24,6334.01,85592.39,648,48,0
MYB0019,Negeri Sembilan,Salary,2025-06-18,14621.92,6369.38,0,565,67,0
MYB0020,Melaka,Salary,2019-08-10,7712.07,7264.91,0,594,73,0
MYB0021,Johor,Mass,2025-01-05,15505.65,3032.49,30358.29,680,16,0
MYB0022,Pahang,Mass,2019-03-02,11696.73,5017.65,0,811,62,0
MYB0023,Kuala Lumpur,Salary,2020-11-05,14945.66,8315.15,149754.74,553,43,0
